kind,source,target,topic_type
subscribe,/detect/point_class,/visual_delivery_audit,std_msgs/Int8
subscribe,/downward_camera/camera_info,/circle_detector,sensor_msgs/CameraInfo
subscribe,/downward_camera/camera_info,/cross_detector,sensor_msgs/CameraInfo
subscribe,/downward_camera/camera_info,/drop_aligner,sensor_msgs/CameraInfo
subscribe,/downward_camera/camera_info,/landing_detector,sensor_msgs/CameraInfo
subscribe,/downward_camera/camera_info,/target_map_projector,sensor_msgs/CameraInfo
subscribe,/downward_camera/image_raw,/circle_detector,sensor_msgs/Image
subscribe,/downward_camera/image_raw,/cross_detector,sensor_msgs/Image
subscribe,/downward_camera/image_raw,/landing_detector,sensor_msgs/Image
subscribe,/downward_camera/image_raw,/target_detector,sensor_msgs/Image
subscribe,/fastplanner/goal,/fast_planner_node,geometry_msgs/PoseStamped
subscribe,/fastplanner/goal,/traj_server,geometry_msgs/PoseStamped
subscribe,/fastplanner/setpoint_position/local,/patrol_control,geometry_msgs/PoseStamped
subscribe,/freedom/static_pointcloud,/fast_planner_node,sensor_msgs/PointCloud2
subscribe,/freedom/static_pointcloud,/navigation/mission_manager,sensor_msgs/PointCloud2
subscribe,/gazebo/set_link_state,/gazebo,gazebo_msgs/LinkState
subscribe,/gazebo/set_model_state,/gazebo,gazebo_msgs/ModelState
subscribe,/livox/lidar,/laserMapping,sensor_msgs/PointCloud2
subscribe,/mavlink/to,/mavros,mavros_msgs/Mavlink
subscribe,/mavros/actuator_control,/mavros,mavros_msgs/ActuatorControl
subscribe,/mavros/adsb/send,/mavros,mavros_msgs/ADSBVehicle
subscribe,/mavros/cellular_status/status,/mavros,mavros_msgs/CellularStatus
subscribe,/mavros/companion_process/status,/mavros,mavros_msgs/CompanionProcessStatus
subscribe,/mavros/debug_value/send,/mavros,mavros_msgs/DebugValue
subscribe,/mavros/extended_state,/navigation/planner_bridge,mavros_msgs/ExtendedState
subscribe,/mavros/extended_state,/navigation_vcl06_assertion,mavros_msgs/ExtendedState
subscribe,/mavros/fake_gps/mocap/tf,/mavros,geometry_msgs/TransformStamped
subscribe,/mavros/global_position/global,/mavros,sensor_msgs/NavSatFix
subscribe,/mavros/global_position/gp_origin,/mavros,geographic_msgs/GeoPointStamped
subscribe,/mavros/global_position/set_gp_origin,/mavros,geographic_msgs/GeoPointStamped
subscribe,/mavros/gps_input/gps_input,/mavros,mavros_msgs/GPSINPUT
subscribe,/mavros/gps_rtk/send_rtcm,/mavros,mavros_msgs/RTCM
subscribe,/mavros/hil/gps,/mavros,mavros_msgs/HilGPS
subscribe,/mavros/hil/imu_ned,/mavros,mavros_msgs/HilSensor
subscribe,/mavros/hil/optical_flow,/mavros,mavros_msgs/OpticalFlowRad
subscribe,/mavros/hil/rc_inputs,/mavros,mavros_msgs/RCIn
subscribe,/mavros/hil/state,/mavros,mavros_msgs/HilStateQuaternion
subscribe,/mavros/home_position/home,/mavros,mavros_msgs/HomePosition
subscribe,/mavros/home_position/set,/mavros,mavros_msgs/HomePosition
subscribe,/mavros/imu/data,/laserMapping,sensor_msgs/Imu
subscribe,/mavros/landing_target/pose,/mavros,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/odom,/fast_planner_node,nav_msgs/Odometry
subscribe,/mavros/local_position/odom,/navigation/planner_bridge,nav_msgs/Odometry
subscribe,/mavros/local_position/odom,/traj_server,nav_msgs/Odometry
subscribe,/mavros/local_position/odom,/waypoint_generator,nav_msgs/Odometry
subscribe,/mavros/local_position/pose,/mavros,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/pose,/navigation/mission_manager,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/pose,/navigation_vcl06_assertion,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/pose,/patrol_control,geometry_msgs/PoseStamped
subscribe,/mavros/local_position/pose,/release_permission_arbiter,geometry_msgs/PoseStamped
