topic,type,publishers,subscribers
/mavros/vision_pose/pose,geometry_msgs/PoseStamped,,/mavros
/mavros/vision_pose/pose_cov,geometry_msgs/PoseWithCovarianceStamped,,/mavros
/mavros/vision_speed/speed_twist_cov,geometry_msgs/TwistWithCovarianceStamped,,/mavros
/mavros/wind_estimation,geometry_msgs/TwistWithCovarianceStamped,/mavros,
/mission/command,patrol_control/MissionCommand,/navigation/planner_bridge,/navigation_vcl06_assertion;/patrol_control
/mission/control_ready,std_msgs/Bool,/patrol_control,/navigation_mission_start_gate
/mission/gazebo_contact_status,std_msgs/String,/gazebo_contact_monitor,/navigation_vcl06_assertion
/mission/planner_anchor_status,std_msgs/String,/planner_anchor_spawner,/navigation_mission_start_gate;/navigation_vcl06_assertion
/mission/random_field_status,std_msgs/String,/random_field_spawner,/navigation_mission_start_gate;/navigation_vcl06_assertion
/mission/release_commitment_evidence,uav_vision/ReleaseEvidence,/release_permission_arbiter,/visual_delivery_audit
/mission/release_permission,uav_mission/ReleasePermission,/release_permission_arbiter,/guarded_servo_proxy;/visual_delivery_audit
/mission/release_permission_active,std_msgs/Bool,/release_permission_arbiter,/patrol_control
/mission/release_result,uav_mission/ReleaseResult,/guarded_servo_proxy,/navigation/planner_bridge;/release_permission_arbiter;/visual_delivery_audit
/mission/uav_contacts_raw,gazebo_msgs/ContactsState,/gazebo,/gazebo_contact_monitor
/mission/visual_delivery_audit_status,std_msgs/String,/visual_delivery_audit,
/move_base_simple/goal,geometry_msgs/PoseStamped,/mavros,/waypoint_generator
/navigation/mission_command_raw,uav_mission/NavigationDecision,/navigation/mission_manager,/navigation/planner_bridge;/navigation_vcl06_assertion
/navigation/mission_result,uav_mission/NavigationResult,/navigation/planner_bridge,/navigation/mission_manager;/navigation_vcl06_assertion
/navigation/mission_start_gate_status,std_msgs/String,/navigation_mission_start_gate,/navigation_vcl06_assertion
/navigation/mission_status,std_msgs/String,/navigation/mission_manager,/navigation_mission_start_gate;/navigation_vcl06_assertion
/navigation/planner_bridge_status,std_msgs/String,/navigation/planner_bridge,/navigation_vcl06_assertion
/path,nav_msgs/Path,/laserMapping,
/pcl_render_node/camera_pose,geometry_msgs/PoseStamped,,/fast_planner_node
/pcl_render_node/depth,sensor_msgs/Image,,/fast_planner_node
/planning/bspline,plan_manage/Bspline,/fast_planner_node,/traj_server
/planning/goal_status,plan_manage/PlannerStatus,/fast_planner_node,/navigation/planner_bridge
/planning/new,std_msgs/Empty,/fast_planner_node,/traj_server
/planning/pos_cmd,quadrotor_msgs/PositionCommand,/traj_server,
/planning/position_cmd_vis,visualization_msgs/Marker,/traj_server,
/planning/replan,std_msgs/Empty,/fast_planner_node,/traj_server
/planning/travel_traj,visualization_msgs/Marker,/traj_server,
/planning_vis/frontier,visualization_msgs/Marker,/fast_planner_node,
/planning_vis/prediction,visualization_msgs/Marker,/fast_planner_node,
/planning_vis/topo_path,visualization_msgs/Marker,/fast_planner_node,
/planning_vis/trajectory,visualization_msgs/Marker,/fast_planner_node,
/planning_vis/visib_constraint,visualization_msgs/Marker,/fast_planner_node,
/planning_vis/yaw,visualization_msgs/Marker,/fast_planner_node,
